path;total_conversions;total_conversion_value;total_null
Display > Display > Display > Display > Display > Display > Newsletter > Newsletter > Price_comparison > Price_comparison;0;0;1
Display > Display > Display > Display > Display > Display > Newsletter > Newsletter > Retargeting;0;0;1
Display > Display > Display > Display > Display > Display > Newsletter > Newsletter > SEA;0;0;1
Display > Display > Display > Display > Display > Display > Newsletter > Newsletter > SEA > SEA;0;0;1
Display > Display > Display > Display > Display > Display > Newsletter > Newsletter > SEA > SEO > SEA;0;0;1
Display > Display > Display > Display > Display > Display > Newsletter > Newsletter > SEO;0;0;1
Display > Display > Display > Display > Display > Display > Newsletter > Other;0;0;2
Display > Display > Display > Display > Display > Display > Newsletter > SEO;0;0;1
Display > Display > Display > Display > Display > Display > Newsletter > SEO > Display > Display > Display > Display > Display > Newsletter > Newsletter;0;0;1
Display > Display > Display > Display > Display > Display > Price_comparison;0;0;8
